"cliid","nome","cnpj"
"0","Schroeder, Baumbach and Shields","9466425803"
"1","Bode, Gerlach and Lind","9584952579"
"2","Connelly, Hamill and Murphy","7596083617"
"3","Schinner, Haley and Erdman","5346672672"
"4","Hudson, Lynch and Schmeler","8035279971"
"5","Nienow Group","2941473459"
"6","Towne LLC","4486185226"
"7","Deckow, Hilll and Stroman","349667772"
"8","Kemmer, Wuckert and Morar","9964125224"
"9","Hessel, Metz and Bogisich","6351767156"
"10","Keeling, Beier and Paucek","3467996"
"11","Collier Group","4832389483"
"12","Huels - Becker","1105490688"
"13","Marks - Schaefer","498724727"
"14","Bernhard, Simonis and Stehr","6091368273"
"15","Crooks LLC","8464618778"
"16","Keeling, Muller and Barton","8906545894"
"17","Weimann Inc","5844781899"
"18","Raynor LLC","5713836142"
"19","Schamberger Inc","9297343872"
"20","Bruen LLC","151113599"
"21","Crist Inc","2487878401"
"22","Dickinson - Windler","645598941"
"23","Rolfson LLC","7905186776"
"24","Howe - Bayer","1792215363"
"25","Stark, Gorczany and Parisian","8206307478"
"26","Swaniawski - McKenzie","2216518042"
"27","Dickinson - Bartoletti","5022329360"
"28","Dare Inc","4113387222"
"29","Ledner - Klein","2399482727"
"30","Leannon LLC","8148923078"
"31","Reilly Group","3352807094"
"32","Flatley - Bogan","4437990161"
"33","Gottlieb Inc","8206228063"
"34","Bauch, Johnston and Hessel","5799527887"
"35","Predovic - Hilll","537628967"
"36","Murphy, Skiles and Kreiger","8577195198"
"37","Windler Group","3420356900"
"38","Wehner, Rodriguez and Crooks","1671006925"
"39","O.Hara, Zboncak and Kutch","6950960298"
"40","Beatty Inc","2739228023"
"41","Bednar - Bailey","4801857205"
"42","Padberg - Renner","9256278596"
"43","Collier - Lockman","8193335813"
"44","Schinner - Mosciski","6100133830"
"45","Murray, Bayer and Heidenreich","7477023033"
"46","Murphy, Douglas and Murazik","2090165464"
"47","Huel Group","715584375"
"48","Cole, Runte and Hettinger","9138439069"
"49","Considine, Stroman and Nolan","5628517364"
"50","Satterfield LLC","5047935981"
"51","Rutherford, Blanda and Bahringer","9988820992"
"52","Dietrich and Sons","5699272356"
"53","Anderson - Carroll","8302258865"
"54","Graham - Kutch","7810251627"
"55","Mayer, Stroman and Gleason","2231353598"
"56","Haag Group","4887228562"
"57","Bernhard, Deckow and Bergnaum","1559823151"
"58","Ernser and Sons","1558001670"
"59","Ernser - Keeling","2296591515"
"60","Simonis - Braun","2637919094"
"61","Murazik - Schaden","6368644001"
"62","Marks, Steuber and Abernathy","5450977735"
"63","Franecki LLC","5553782600"
"64","Wolf - Swaniawski","3831385270"
"65","Johnston and Sons","8135524129"
"66","Berge - Thiel","2150352958"
"67","Willms, Corwin and Lang","1428534512"
"68","Stroman, Corkery and Kshlerin","1250620023"
"69","Spinka, Gusikowski and Mills","2403101397"
"70","Sawayn, Abernathy and Ferry","1191089517"
"71","Schoen, Schowalter and Schneider","9486019223"
"72","Leannon and Sons","8522324050"
"73","Nicolas, Johnston and DuBuque","7052682818"
"74","Sporer - Koch","2866087135"
"75","Murray and Sons","4439635474"
"76","Bahringer, Daniel and Turcotte","3667600003"
"77","Hoeger, Funk and Thompson","4642072829"
"78","Ratke, Champlin and Kuhic","4517512363"
"79","Hickle and Sons","1924799286"
"80","Collins Group","7040514036"
"81","Sipes, Hansen and Olson","3618083173"
"82","Kuphal, McGlynn and Klocko","2744216607"
"83","Barrows, Gerlach and Stoltenberg","4324326452"
"84","Quigley Inc","3129507310"
"85","Harvey - Koss","6218555488"
"86","Orn, Rau and Simonis","5296252330"
"87","Cartwright - Shields","4313399992"
"88","Kertzmann, Adams and Haag","6270292727"
"89","Leuschke - Kuhic","3095345615"
"90","Lehner Inc","8002518861"
"91","Rippin - Lesch","5064622899"
"92","Dickens - Beier","2719995584"
"93","Mann, Bogisich and Smitham","6785108284"
"94","Hilll, Runte and Leffler","8682626543"
"95","Heller, Johns and Conroy","1972558366"
"96","Johnson LLC","2534276913"
"97","Vandervort Inc","4106131447"
"98","Jerde - Kiehn","4319379691"
"99","Weissnat, Brakus and DuBuque","2702450563"
"100","Kunde - Dietrich","3733688538"
"101","Kunze Inc","8116751832"
"102","Cummings, Bednar and D.Amore","8972409782"
"103","Koepp, Bashirian and Herzog","4285418851"
"104","Smitham - Tromp","9328237386"
"105","Rodriguez, Goyette and Greenfelder","9417920758"
"106","Russel Group","3718101785"
"107","Reynolds - Williamson","9571619000"
"108","Haag Group","5407561727"
"109","Gibson, Senger and Senger","1184720630"
"110","Renner, Moen and Turcotte","949748188"
"111","McCullough - Wintheiser","9808093310"
"112","Ward - Bechtelar","8955437587"
"113","Brown Inc","8753159640"
"114","Jakubowski - Adams","5952519598"
