"cliid","placa","datapedido"
"0","PM29MSV","2016-11-22"
"1","KR24SRE","2022-09-10"
"2","XC90PMG","2014-10-01"
"3","HK86DCA","2015-07-10"
"4","EZ26THW","2021-08-26"
"5","YE14JVR","2011-09-24"
"6","FL80WPZ","2016-01-07"
"7","YA74AGX","2011-04-07"
"8","HD27OPZ","2019-09-05"
"9","VO41YTS","2023-06-30"
"10","DE69OBN","2022-06-16"
"11","BA31YTD","2012-09-16"
"12","UN64KCY","2015-11-06"
"13","HA71GYJ","2020-05-04"
"14","RP32UMU","2021-09-14"
"15","OL90UOK","2013-06-01"
"16","RT75FXE","2020-09-07"
"17","AH57LSG","2018-02-14"
"18","RQ42RJQ","2011-05-21"
"19","HA52BKE","2009-11-02"
"20","MR11ESX","2017-08-22"
"21","QZ22HAJ","2014-11-14"
"22","XT98TTF","2015-07-15"
"23","OE96FZV","2019-06-08"
"24","YW55CCN","2022-09-12"
"25","FW59XIJ","2018-10-29"
"26","EV33VVD","2010-02-14"
"27","JO96EAV","2014-07-02"
"28","LL63XJF","2020-05-26"
"29","KQ26EEV","2013-09-04"
"30","IZ07NTR","2023-09-22"
"31","MM38NBC","2018-08-30"
"32","JK98XTP","2013-01-04"
"33","JO03JPY","2022-07-18"
"34","GV05SLH","2012-11-27"
"35","BW87MQD","2017-05-04"
"36","GD08CBH","2023-10-13"
"37","CI19KGJ","2018-02-13"
"38","CI16OUB","2014-07-25"
"39","NE20REM","2011-11-09"
"40","KZ51KOL","2017-07-05"
"41","RN04RPS","2024-01-25"
"42","MI03EMB","2016-11-05"
"43","FK12RSO","2016-06-09"
"44","WS38TDH","2021-09-20"
"45","ML54TVM","2014-10-15"
"46","WO41GWQ","2016-08-08"
"47","ZO48IER","2023-03-22"
"48","TY70GBV","2020-02-22"
"49","GN34GTU","2019-05-15"
"50","JL46EMT","2011-04-28"
"51","KT21JVL","2010-04-12"
"52","YJ35OWJ","2013-09-06"
"53","PP89XTP","2015-03-23"
"54","GS36YFZ","2010-06-30"
"55","UV28ZYG","2014-07-03"
"56","ZW13MGQ","2012-08-23"
"57","VW04SIY","2013-03-03"
"58","BD03LJK","2020-04-24"
"59","TD84FLT","2010-03-02"
"60","AD43YJZ","2022-12-20"
"61","UG43RFN","2019-06-02"
"62","IB02LXM","2013-08-16"
"63","UB06BHZ","2024-02-27"
"64","MA84TGK","2021-05-29"
"65","YX44VJI","2019-08-14"
"66","KB09EOU","2021-07-28"
"67","QI54SJS","2010-07-08"
"68","LY90PXZ","2014-01-12"
"69","GU55SED","2023-06-28"
"70","XB63REB","2013-06-28"
"71","IW19EDF","2018-05-07"
"72","HM75ZJD","2017-09-29"
"73","SP83EBE","2016-01-21"
"74","HJ32VWX","2021-01-13"
"75","ZX66EII","2009-12-14"
"76","EW21MMQ","2016-02-29"
"77","YP91LQC","2013-02-19"
"78","ML85KMU","2014-06-29"
"79","UK25IJQ","2013-07-18"
"80","UN82RFP","2019-12-17"
"81","TK02BYZ","2015-01-07"
"82","WF12IHO","2019-02-20"
"83","SC69WRY","2016-06-02"
"84","SM10IGK","2017-09-15"
"85","KZ51NXM","2018-01-21"
"86","OD75GXR","2012-01-30"
"87","MM85GRT","2020-11-27"
"88","ZF27YLD","2018-04-27"
"89","MF53GEK","2020-09-30"
"90","ZV55WPD","2024-02-13"
"91","BU91SUW","2009-10-20"
"92","BU28SLD","2023-10-08"
"93","QK39ERT","2012-05-30"
"94","OT29UWT","2021-05-08"
"95","ZD31QDT","2018-02-11"
"96","ZL30GYY","2014-10-20"
"97","MI45GOE","2012-06-16"
"98","EZ80MTP","2022-12-07"
"99","AL56KUX","2014-09-27"
"100","MW55OAL","2012-11-28"
"101","WG48KHO","2021-02-16"
"102","UP35QQC","2017-10-05"
"103","LS32GYD","2020-07-16"
"104","JT44ZFP","2022-09-11"
"105","XN61RJH","2013-04-24"
"106","VL84UNT","2011-11-21"
"107","TR21DKE","2015-08-16"
"108","TJ25UMX","2017-04-13"
"109","MH32WNC","2011-01-22"
"110","YW37BZM","2011-02-15"
"111","YP18DMH","2012-08-03"
"112","YO28HYM","2019-05-06"
"113","AR78BLO","2022-12-03"
"114","BE12JMR","2021-08-17"
"115","JB05TLH","2023-08-26"
"116","SW20PTW","2021-11-29"
"117","ZP94GHW","2016-08-25"
"118","XQ54URU","2015-03-31"
"119","LZ27BTZ","2011-01-16"
"120","GL58RNZ","2017-05-09"
"121","QS92TXU","2013-01-08"
"122","HX01LNJ","2016-11-25"
"123","QM70AYA","2020-03-13"
"124","KR25PSC","2017-11-15"
"125","YI24UIK","2010-07-13"
"126","FE80ZJO","2019-07-17"
"127","ZX58BYP","2016-05-07"
"128","ZK62OJH","2012-02-22"
"129","DV51ARH","2009-11-13"
"130","KQ74MES","2020-01-20"
"131","CZ30EDP","2018-05-03"
"132","OW24PNY","2014-03-29"
"133","PB09WXL","2013-12-13"
"134","KI33ZMQ","2020-04-12"
"135","VU73PAM","2019-10-09"
"136","WP94XQZ","2023-01-22"
"137","UR11GWO","2015-10-11"
"138","JD43GAK","2023-12-04"
"139","MM62UCG","2016-04-13"
"140","JB66KOR","2015-12-18"
"141","KS21HYU","2010-01-31"
"142","LE48RLL","2022-07-06"
"143","DO67ESS","2020-10-31"
"144","QS70KXP","2017-02-28"
"145","XF17AQJ","2012-08-24"
"146","GZ37DTJ","2011-12-02"
"147","XT40TJC","2012-12-13"
"148","BT79FEU","2019-08-15"
"149","CJ43ZCL","2009-12-05"
"150","TU96SHW","2021-09-17"
"151","KW22HWD","2016-10-08"
"152","IO98UFL","2012-02-26"
"153","ID89HGC","2021-11-10"
"154","MF50LGC","2015-04-11"
"155","GS22ANK","2010-07-14"
"156","RD40GIU","2013-10-30"
"157","CP31CCL","2012-08-11"
"158","HJ27YQH","2018-03-17"
"159","UL00XBI","2018-06-14"
"160","QA71OXC","2010-04-13"
"161","UL40LZV","2014-06-15"
"162","HJ05IOI","2020-07-20"
"163","SW16DCC","2017-10-15"
"164","BA58KYE","2015-07-17"
"165","FP37XKS","2011-10-25"
"166","GQ84DUM","2010-07-16"
"167","TG44HZB","2013-05-07"
"168","VU92ICP","2018-07-20"
"169","VC55EJO","2012-10-17"
"170","HW14XNV","2016-06-12"
"171","AS46QWH","2012-04-15"
"172","FX13NCZ","2011-06-30"
"173","LK59HSO","2022-04-06"
"174","KD20JNG","2012-05-12"
"175","GA89EIQ","2017-12-04"
"176","AQ20JBI","2014-06-02"
"177","FR91SZY","2013-07-31"
"178","JU50LZR","2016-05-29"
"179","TK58AAB","2021-06-20"
"180","XZ92TXQ","2017-09-02"
"181","OY05GUT","2018-04-01"
"182","BI00AFS","2011-04-08"
"183","BI47AQE","2015-01-13"
