"placa","marca","modelo","anofab","licenca"
"PM29MSV","Mazda","911",2021,"xvjIjsqB"
"KR24SRE","Lamborghini","CX-9",2012,"HCYpCrjm"
"XC90PMG","Tesla","CX-9",2018,"oYqArEUL"
"HK86DCA","Jeep","2",2021,"IPAedkwb"
"EZ26THW","Aston Martin","2",2014,"rOLnLNSc"
"YE14JVR","BMW","Model S",2022,"KHyAqYnq"
"FL80WPZ","Jaguar","LeBaron",2023,"ZFEKjiPh"
"YA74AGX","Nissan","Model X",2019,"AlTOMged"
"HD27OPZ","Hyundai","XC90",2017,"fqiRCAFw"
"VO41YTS","Kia","Sentra",2016,"XmOlOlay"
"DE69OBN","Audi","Cruze",2010,"rxeJgKBS"
"BA31YTD","Aston Martin","Grand Cherokee",2019,"aCPrBkGv"
"UN64KCY","Tesla","Model X",2015,"TRyFSYbH"
"HA71GYJ","Cadillac","Spyder",2015,"zseiMYkg"
"RP32UMU","Cadillac","CTS",2010,"aFvgSpzL"
"OL90UOK","Rolls Royce","V90",2023,"McZugbja"
"RT75FXE","Mini","XTS",2014,"sMruqYbR"
"AH57LSG","Mercedes Benz","Charger",2011,"ZsqDIyeR"
"RQ42RJQ","Porsche","Escalade",2013,"IgzPfbpf"
"HA52BKE","Bentley","Ranchero",2015,"TADCitWo"
"MR11ESX","Mercedes Benz","Cruze",2019,"oCTMYKUN"
"QZ22HAJ","Dodge","F-150",2016,"VXmtkDaB"
"XT98TTF","Mercedes Benz","CX-9",2013,"iRSAjVnT"
"OE96FZV","Maserati","Corvette",2017,"NtMOdNTn"
"YW55CCN","Ford","Aventador",2015,"kSGJXzNO"
"FW59XIJ","Aston Martin","Model 3",2023,"wMLPdksP"
"EV33VVD","Mini","Sentra",2013,"PrrvlQyZ"
"JO96EAV","Kia","Countach",2014,"IwgdjAtO"
"LL63XJF","Kia","Element",2011,"HBwMxJQJ"
"KQ26EEV","Jeep","CX-9",2021,"pbPXUSOE"
"IZ07NTR","Maserati","Silverado",2011,"vmApmNnK"
"MM38NBC","Hyundai","Model 3",2013,"IhdXvClp"
"JK98XTP","Audi","F-150",2019,"tswVVEqA"
"JO03JPY","Dodge","Explorer",2014,"PCdvObYT"
"GV05SLH","Dodge","Prius",2017,"CNztGbdl"
"BW87MQD","Chrysler","Ranchero",2014,"kLyZYSJd"
"GD08CBH","Mazda","PT Cruiser",2014,"SEelQKpm"
"CI19KGJ","Chevrolet","A4",2016,"jqBxfIxm"
"CI16OUB","Chevrolet","F-150",2018,"YplAkgrO"
"NE20REM","Hyundai","Impala",2022,"ycEDTqbU"
"KZ51KOL","Bentley","Model T",2023,"HHMOuMja"
"RN04RPS","Fiat","Impala",2012,"vflNppqg"
"MI03EMB","Mercedes Benz","Altima",2018,"DBoBMFfj"
"FK12RSO","Polestar","Spyder",2024,"ZniRugsD"
"WS38TDH","Dodge","1",2014,"SRvXiXKz"
"ML54TVM","Tesla","Wrangler",2017,"nGoRdBPz"
"WO41GWQ","Toyota","XTS",2011,"UYawcrKW"
"ZO48IER","Toyota","CTS",2021,"tgVotcRC"
"TY70GBV","Smart","Beetle",2022,"sClxiWQn"
"GN34GTU","Tesla","PT Cruiser",2022,"EKatLAUS"
"JL46EMT","Maserati","Golf",2016,"VJuZAcWW"
"KT21JVL","Lamborghini","1",2023,"rGrvxAtJ"
"YJ35OWJ","Jaguar","F-150",2011,"FQaiyeCj"
"PP89XTP","Porsche","CX-9",2015,"XxcTezqZ"
"GS36YFZ","Smart","XC90",2018,"acfwjXhl"
"UV28ZYG","Mercedes Benz","Altima",2019,"WPSNZiqG"
"ZW13MGQ","Mini","CX-9",2021,"nCsmEOmC"
"VW04SIY","Chevrolet","El Camino",2015,"KAArlkmM"
"BD03LJK","Rolls Royce","El Camino",2022,"SXSDROZf"
"TD84FLT","Volkswagen","Countach",2012,"monAGvrH"
"AD43YJZ","Jeep","Grand Cherokee",2022,"bQsQpMLz"
"UG43RFN","Audi","V90",2013,"xlxWGPeP"
"IB02LXM","Polestar","Beetle",2022,"PLOQoUvF"
"UB06BHZ","Hyundai","Charger",2016,"luxEQfQU"
"MA84TGK","Kia","Model S",2024,"YRdAoSyi"
"YX44VJI","Tesla","XTS",2014,"jBmhcfLW"
"KB09EOU","Toyota","Durango",2021,"aUdvdknE"
"QI54SJS","Lamborghini","Camaro",2010,"TPKlCtTg"
"LY90PXZ","Volkswagen","Prius",2020,"HsfXFLGk"
"GU55SED","Chrysler","Element",2019,"nBfzCUWk"
"XB63REB","Chevrolet","Aventador",2016,"dmdwevJI"
"IW19EDF","Polestar","Camry",2016,"EXQAbNBG"
"HM75ZJD","Lamborghini","Alpine",2014,"DneZnHcF"
"SP83EBE","Land Rover","Escalade",2017,"KeGcxQvv"
"HJ32VWX","Volkswagen","Sentra",2011,"sHpOwbFt"
"ZX66EII","Toyota","Escalade",2015,"qnXbhDoE"
"EW21MMQ","Volkswagen","Wrangler",2017,"uokKFYtl"
"YP91LQC","Jeep","Focus",2013,"stnQVAdG"
"ML85KMU","Kia","Volt",2022,"SIzfgHRr"
"UK25IJQ","Honda","Civic",2010,"GfIQldsf"
"UN82RFP","Mini","V90",2013,"ThPILZld"
"TK02BYZ","Hyundai","Ranchero",2012,"cPyQurdQ"
"WF12IHO","Volvo","Corvette",2016,"aeTIGMea"
"SC69WRY","Cadillac","PT Cruiser",2021,"wDgygNBe"
"SM10IGK","Volkswagen","ATS",2019,"CemZwVlN"
"KZ51NXM","Mazda","El Camino",2011,"eJxvFOOU"
"OD75GXR","Hyundai","CX-9",2016,"gSzWAujC"
"MM85GRT","Maserati","Ranchero",2022,"EyRCwTdq"
"ZF27YLD","Bentley","Colorado",2024,"tAhqdvvi"
"MF53GEK","Hyundai","Explorer",2022,"KrNfNmWF"
"ZV55WPD","Mini","Model S",2022,"wGQUnnmz"
"BU91SUW","Hyundai","A4",2014,"dgZnoCWL"
"BU28SLD","Mercedes Benz","Countach",2023,"hUzNazRd"
"QK39ERT","Bugatti","Accord",2021,"cywtWTQt"
"OT29UWT","Jaguar","Charger",2012,"PJNxwHQT"
"ZD31QDT","Land Rover","Aventador",2011,"LRTUFZsC"
"ZL30GYY","Polestar","Malibu",2024,"LmsQFCEk"
"MI45GOE","Mercedes Benz","Taurus",2011,"SMcPkZVP"
"EZ80MTP","Volvo","Spyder",2015,"rgzCpJBz"
"AL56KUX","Honda","Model S",2016,"cYguXhda"
"MW55OAL","Jeep","2",2019,"nNHtwLsY"
"WG48KHO","BMW","Element",2019,"EGYnVqEW"
"UP35QQC","Cadillac","Golf",2015,"pwazPVHg"
"LS32GYD","Jeep","ATS",2022,"JYgMBoXP"
"JT44ZFP","Dodge","Volt",2014,"isLlqFwl"
"XN61RJH","BMW","El Camino",2015,"baPjjCOw"
"VL84UNT","Polestar","LeBaron",2023,"WQkUGqhd"
"TR21DKE","Toyota","Fortwo",2023,"TChzOosC"
"TJ25UMX","Jaguar","Aventador",2015,"LzmAIcUM"
"MH32WNC","Rolls Royce","1",2021,"HdHINiWe"
"YW37BZM","Chrysler","Aventador",2011,"SWmGcfWw"
"YP18DMH","Land Rover","El Camino",2013,"ugpBNKUg"
"YO28HYM","Maserati","Civic",2023,"xYVKdoKf"
"AR78BLO","Chevrolet","F-150",2021,"tQHoukVY"
"BE12JMR","Honda","Model S",2017,"WymsWLar"
"JB05TLH","Rolls Royce","Beetle",2018,"ozxPHvkj"
"SW20PTW","Ford","XTS",2016,"nrSBdLeK"
"ZP94GHW","Kia","V90",2023,"MyDYiknL"
